,Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Supplier Group,Address,City,State,Country / Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
470,"Taichung Shuihing Label Weaving Co., Ltd.",FINISHED GOODS - COMPONENTS,Apparel,Nike,AVERY DENNISON,6 1 Gong 2nd Rd Dajia Taichung 43769 Taiwan ROC,Taichung,Taichung,Taiwan,N ASIA,74.0,58.0,78.0,2.5
471,TCS SRL,FINISHED GOODS,Apparel,Nike,TCS,VIA REGINA TEODOLINDA 47,Como,Como,Italy,EMEA,17.0,14.0,57.0,0.0
472,Team Edition Apparel,FINISHED GOODS,Apparel,Nike,TEAM EDITION,4208 19th Street Court East,Bradenton,Florida,USA,AMERICAS,165.0,141.0,66.0,0.0
473,TEIJIN CORDLEY LTD (TAIWAN OKAHATA CO LTD) (JAPAN),MATERIALS,Footwear,Nike,TEIJIN CORDLEY,1 446 NAGAHISA NAGAHISA CHO OHDA,Shimane,Simane,Japan,N ASIA,183.0,160.0,30.0,0.0
474,Texlan Center Private Limited,FINISHED GOODS,Equipment,Nike,INTERLOOP,"Weniwalgodalle Estate, Dagonna Road",Minuwangoda,Colombo,Sri Lanka,S ASIA,1039.0,796.0,36.0,0.0
475,Textil H.J.Hering Ltda,FINISHED GOODS,Apparel,Nike,TEXTIL H.J. HERING,Rua Rio de Janeiro 965  Bairro dos Estados,Indaial,Santa Catarina,Brazil,AMERICAS,312.0,289.0,79.0,0.0
476,TEXTILES INTERNATIONAL OF EGYPT LTD.,FINISHED GOODS,Apparel,Nike,TIE TEXTILES,PUBLIC FREE ZONE  NASR CITY,CAIRO,Ash Sharqiyah,Egypt,EMEA,568.0,481.0,52.0,0.0
477,"Textiles La Paz, L.L.C.",FINISHED GOODS,Apparel,Nike,FUN TEES,Zona Franca El Pedregal,El Rosario La Paz,La Paz,El Salvador,AMERICAS,2923.0,2246.0,51.0,0.0
478,"TEXTURERIAS, S.A. DE C.V.",FINISHED GOODS,Apparel,Nike,TEXTURERIAS,MARIANO ABASOLO 206,Santiago Tianguistenco,Distrito Federal,Mexico,AMERICAS,285.0,273.0,52.0,0.0
479,"Thai Sock Co., Ltd.",FINISHED GOODS,Apparel,Nike,THAI SOCKS,29 1 Moo 4,Prapradaeng,Samut Prakan,Thailand,SE ASIA,418.0,305.0,75.0,0.0
480,"The Haddad Apparel Wuxi, Co., LTD",FINISHED GOODS,Apparel,Nike,HADDAD,Floor 4 No 28 19 Nanhu Center Road,Wuxi,Jiangsu,China,N ASIA,60.0,40.0,81.0,0.0
481,"Thuan Phuong Embroideries Garments Co., Ltd.",FINISHED GOODS,Apparel,Nike,THUAN PHUONG,275 Nguyen Van Luong St Dist 6 HCMC,Ho Chi Minh City,Ho Chi Minh,Vietnam,SE ASIA,1355.0,1048.0,51.0,0.0
482,TIGAMARO SRL,FINISHED GOODS,Equipment,Nike,TIGAMARO,Via Cristoforo Colombo 164,Macerata,Macerata,Italy,EMEA,118.0,100.0,92.0,2.5
483,"Tiong Liong Vietnam Tronjen Industrial Co., Ltd. (Weaving & Lamination) ",MATERIALS,Footwear,Nike,NAM LIONG,1111 Map DC8 4 Binh Chuan Production Zone,Thuan An Town,Bình Duong,Vietnam,SE ASIA,170.0,60.0,0.0,0.0
484,FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD,MATERIALS,Footwear,Nike,NAM LIONG,Hongkuan Industry Village,Fuqing City,Fujian,China,N ASIA,122.0,70.0,19.0,0.0
485,"TIONG LIONG-Tiong Liong Industrial Co., Ltd. (Lamination)",MATERIALS,Footwear,Nike,NAM LIONG,NO 8 Lane 758 SEC 3 ZHONGQING RD,Taichung City,Taichung,Taiwan,N ASIA,67.0,28.0,0.0,2.5
486,TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA),FINISHED GOODS - COMPONENTS,Footwear,Nike,TKG ECO MATERIAL,11 Noksansandan 382ro 49beongil Gangseogu,Busan,Busan Gwangyeogsi,South Korea,N ASIA,247.0,137.0,6.0,0.0
487,TKG ECO MATERIAL SYNTHETIC (VIETNAM),MATERIALS,Footwear,Nike,TKG ECO MATERIAL,Lot 45 18 02 Road N14 Phuoc Dong Industrial Park,Tay Ninh,Tây Ninh,Vietnam,SE ASIA,502.0,390.0,27.0,0.0
488,TKG TAEKWANG VINA JOINT STOCK COMPANY,FINISHED GOODS,Footwear,Nike,TAEKWANG,No 8 Road 9A,BIEN HOA,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,80.0,0.0
489,TKG TAEKWNG BINH PHUOC COMPANY LIMITED,MATERIALS,Footwear,Nike,TAEKWANG,Lot E1 E2 Minh Hung Korea Industrial Park,Chon Than  Townlet ,Bình Phuc,Vietnam,SE ASIA,1762.0,1548.0,77.0,0.0
490,"TMI Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,TUNG MUNG,1365 1 National Road 1A An Phu Dong Ward District 12,Ho Chi Minh City,Ho Chi Minh,Vietnam,SE ASIA,1619.0,1313.0,71.0,0.0
491,TONG HONG TANNERY CO LTD (CHINA),MATERIALS,Footwear,Nike,TONG HONG,HEPU COUNTY,Bekasi,Guangxi,China,N ASIA,1050.0,850.0,40.0,0.0
492,TONG HONG TANNERY CO LTD (VIETNAM),MATERIALS,Footwear,Nike,TONG HONG,LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT,PHU MY,Bà Ra - Vung Tàu,Vietnam,SE ASIA,1260.0,1160.0,40.0,2.5
493,Top Summit Garment Inc,FINISHED GOODS,Apparel,Nike,SABRINA,National Rd No 4,Kandal,Kandaal,Cambodia,SE ASIA,4636.5,4012.0,91.0,0.0
494,TORAY SAKAI CO. LTD.,MATERIALS,Apparel,Nike,TORAY,301 Ruixing Road,Nantong,Jiangsu,China,N ASIA,1500.0,1200.0,40.0,0.0
495,"Toyama Sports Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,TOYAMA SPORTS,345 Fukumitsu,Nanto,Toyama,Japan,N ASIA,3.0,2.0,0.0,0.0
496,TRIMCO GROUP (HONG KONG) CO LTD,MATERIALS,Apparel,Nike,TRIMCO GROUP,Flat G 8Floor City Industrial Complex,Kwai Chung,Guangdong,China,N ASIA,227.0,72.0,70.0,0.0
497,TRIMCO GROUP (ZHEJIANG) CO LTD,FINISHED GOODS - COMPONENTS,Apparel,Nike,TRIMCO GROUP,No 236 Xin Lang Road,Yu Yao City,Zhejiang,China,N ASIA,345.0,203.0,53.0,0.0
498,Trischel Fabric (PVT) Ltd,MATERIALS,Apparel,Nike,MAS HOLDINGS,MAS Fabric Park  Kurunegala Road,Thulhiriya,Kurunegala,Sri Lanka,S ASIA,1085.0,875.0,1.0,2.0
499,TTG Co. Ltd.,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,B1-4 Industrial Zone,Tien Giang,Long An,Vietnam,SE ASIA,58.0,41.0,42.0,0.0
500,TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS,Apparel,Nike,TUNTEX," OT H, AN NGHIEP INDUSTRIAL ZONE, AN HIEP WARD",Soc Trang,Sóc Trang,Vietnam,SE ASIA,1266.0,888.0,88.0,1.0
501,"U.S. Embroidery, LLC",FINISHED GOODS,Apparel,Nike,US EMBROIDERY,25999 SW Canyon Creek Rd,Wilsonville,Oregon,USA,AMERICAS,20.0,19.0,79.0,0.0
502,UAB Haltex,FINISHED GOODS,Apparel,Nike,UAB HALTEX,Audeju str,Alytus,Alytaus Apskritis,Lithuania,EMEA,344.0,273.0,91.0,2.5
503,"Unichela (Pvt)Ltd, Vidiyal Division",FINISHED GOODS,Apparel,Nike,MAS HOLDINGS,Bharathipuram Road,Kilinochchi,Kilinochchi,Sri Lanka,S ASIA,1935.0,1400.0,100.0,0.0
504,"Unipax Co., Ltd",FINISHED GOODS,Apparel,Nike,HWASEUNG CROWN,Plot 1012 101 4 Amata Rd 3,Bien Hoa City,Ðng Nai,Vietnam,SE ASIA,1800.0,1500.0,98.0,1.0
505,"Unipax Vi Thanh C.,Ltd.",FINISHED GOODS,Apparel,Nike,HWASEUNG CROWN,Land plot No 19 Map sheet No 7,Vi Thanh ,Hu Giang,Vietnam,SE ASIA,2530.0,2500.0,98.0,0.0
506,"United Creation Optical Technology Co., Ltd",FINISHED GOODS,Equipment,Nike,UNITED CREATION,D2 2 Mingde Road Glasses Industrial Park Yujiang District,Yingtan,Jiangxi,China,N ASIA,273.0,219.0,100.0,0.0
